Iteration,Rate
1,0.0
2,0.0
3,0.0
4,0.0
5,0.05
6,0.0
7,0.07142857142857142
8,0.0
9,0.1111111111111111
10,0.075
11,0.09090909090909091
12,0.041666666666666664
13,0.019230769230769232
14,0.07142857142857142
15,0.05
16,0.125
17,0.1323529411764706
18,0.2361111111111111
19,0.25
20,0.25
21,0.34523809523809523
22,0.3522727272727273
23,0.3804347826086957
24,0.3854166666666667
25,0.39
26,0.4423076923076923
27,0.42592592592592593
28,0.44642857142857145
29,0.47413793103448276
30,0.5333333333333333
31,0.5080645161290323
32,0.5234375
33,0.553030303030303
34,0.5735294117647058
35,0.5642857142857143
36,0.5694444444444444
37,0.581081081081081
38,0.6118421052631579
