index,result,reference
0,153.56,156.0
1,191.948,188.0
2,268.727,266.0
3,374.276,375.0
4,556.647,343.0
5,211.132,219.0
6,172.755,203.0
7,230.324,172.0
8,316.717,235.0
9,383.874,312.0
10,364.685,391.0
11,441.457,359.0
12,153.551,203.0
13,191.94,235.0
14,259.137,157.0
15,316.721,187.0
16,345.522,266.0
17,191.946,312.0
18,211.165,344.0
19,172.761,188.0
20,163.162,218.0
21,134.368,172.0
22,470.28,156.0
23,403.13,140.0
24,172.758,469.0
25,191.945,406.0
26,191.94,172.0
27,172.744,188.0
28,345.49,187.0
29,431.885,172.0
30,326.298,344.0
31,441.479,437.0
32,191.959,329.0
33,201.542,203.0
34,143.965,234.0
35,326.29,188.0
36,345.504,203.0
37,172.752,141.0
38,182.345,328.0
39,211.148,344.0
40,163.15,171.0
41,163.159,188.0
42,729.378,203.0
43,364.698,172.0
44,201.535,156.0
45,239.93,735.0
46,172.754,359.0
47,134.362,203.0
48,758.226,235.0
49,297.526,172.0
50,403.096,141.0
51,172.749,343.0
52,105.569,407.0
53,191.962,296.0
54,662.256,235.0
55,633.424,172.0
56,239.931,172.0
57,172.751,109.0
58,153.573,188.0
59,191.954,656.0
60,681.385,453.0
61,335.911,188.0
62,220.752,234.0
63,105.579,172.0
64,374.301,156.0
65,249.534,187.0
66,556.603,688.0
67,403.072,328.0
68,230.317,219.0
69,316.689,109.0
70,230.33,187.0
71,191.94,188.0
72,191.965,250.0
73,95.974,547.0
74,249.512,406.0
75,623.791,234.0
76,278.299,313.0
77,191.935,234.0
78,172.73,188.0
79,182.343,187.0
80,297.486,344.0
81,316.694,391.0
82,518.221,234.0
83,153.532,281.0
84,153.56,188.0
85,172.733,172.0
86,211.112,187.0
87,374.278,297.0
88,326.295,313.0
89,278.318,515.0
90,316.712,157.0
91,326.304,156.0
92,316.698,172.0
93,345.486,203.0
94,278.301,375.0
95,268.719,328.0
96,220.727,282.0
97,153.551,312.0
98,374.287,140.0
99,287.9,188.0
100,259.114,312.0
101,335.892,344.0
102,307.092,281.0
103,249.507,266.0
104,143.95,219.0
105,191.935,156.0
106,249.528,375.0
107,431.828,281.0
108,441.448,266.0
109,326.277,328.0
110,239.918,312.0
111,153.546,250.0
112,191.938,141.0
113,182.344,187.0
114,287.904,250.0
115,326.305,438.0
116,297.498,437.0
117,201.539,328.0
118,172.744,235.0
119,172.756,157.0
120,191.936,187.0
121,278.308,188.0
122,326.303,281.0
123,297.507,328.0
124,239.921,297.0
125,134.353,203.0
126,163.142,172.0
127,182.345,172.0
128,383.884,188.0
129,307.096,281.0
130,278.305,328.0
131,220.73,297.0
132,239.929,234.0
133,268.724,141.0
134,1228.425,156.0
135,537.417,188.0
136,451.054,375.0
137,403.063,312.0
138,287.892,281.0
139,230.321,219.0
140,268.718,235.0
141,1238.017,265.0
142,527.82,1235.0
143,460.642,531.0
144,403.065,453.0
145,278.309,406.0
146,239.915,282.0
147,1506.709,235.0
148,527.809,265.0
149,863.728,1235.0
150,278.316,531.0
151,239.928,453.0
152,259.12,406.0
153,1775.408,282.0
154,451.043,235.0
155,403.071,265.0
156,287.901,1235.0
157,345.493,531.0
158,307.107,453.0
159,959.688,406.0
160,633.379,282.0
161,470.268,235.0
162,719.789,265.0
163,316.707,1235.0
164,316.688,531.0
165,1151.619,453.0
166,499.047,406.0
167,460.645,282.0
168,355.08,344.0
169,374.285,312.0
170,268.725,954.0
171,191.937,640.0
172,86.373,469.0
173,1314.716,375.0
174,566.207,344.0
175,499.031,312.0
176,316.694,313.0
177,326.307,1156.0
178,297.498,500.0
179,268.717,453.0
180,1410.729,359.0
181,383.894,375.0
182,460.658,265.0
183,403.066,281.0
184,326.301,1313.0
185,335.887,562.0
186,374.281,500.0
187,815.736,313.0
188,547.011,328.0
189,547.011,297.0
190,335.883,266.0
191,335.897,1406.0
192,249.549,391.0
193,316.7,453.0
194,604.572,406.0
195,470.226,328.0
196,690.972,328.0
197,355.077,375.0
198,172.747,813.0
199,153.574,547.0
200,940.518,547.0
201,441.444,343.0
202,268.702,329.0
203,134.36,250.0
204,547.019,312.0
205,115.161,609.0
206,307.094,469.0
207,518.245,688.0
208,441.453,359.0
209,547.03,344.0
210,124.757,172.0
211,105.567,156.0
212,287.903,375.0
213,873.303,563.0
214,326.286,437.0
215,239.922,266.0
216,182.332,140.0
217,143.952,547.0
218,124.758,109.0
219,239.921,312.0
220,950.088,516.0
221,172.754,438.0
222,220.737,375.0
223,614.194,171.0
224,969.309,125.0
225,422.268,109.0
226,220.733,281.0
227,153.55,875.0
228,220.726,328.0
229,422.261,235.0
230,134.362,187.0
231,489.443,140.0
232,364.669,125.0
233,211.132,235.0
234,143.949,437.0
235,172.74,328.0
236,172.746,188.0
237,566.201,172.0
238,700.572,219.0
239,393.482,344.0
240,172.737,265.0
241,220.724,969.0
242,172.756,422.0
243,182.35,219.0
244,297.521,156.0
245,642.985,218.0
246,422.264,422.0
247,191.929,141.0
248,211.13,484.0
249,345.484,360.0
250,191.935,218.0
251,403.08,141.0
252,422.272,172.0
253,249.514,172.0
254,172.742,563.0
255,47.984,703.0
256,191.944,390.0
257,345.484,172.0
258,278.302,219.0
259,537.45,172.0
260,422.292,187.0
261,201.527,297.0
262,182.334,641.0
263,201.538,422.0
264,863.775,187.0
265,652.584,219.0
266,499.039,156.0
267,239.931,188.0
268,124.763,187.0
269,220.728,406.0
270,201.545,422.0
271,662.241,250.0
272,595.015,172.0
273,575.846,234.0
274,220.734,344.0
275,172.747,281.0
276,220.749,531.0
277,211.128,422.0
278,335.885,203.0
279,806.158,188.0
280,556.619,204.0
281,230.316,218.0
282,143.964,641.0
283,182.35,656.0
284,249.519,500.0
285,585.414,235.0
286,326.285,125.0
287,345.524,219.0
288,297.506,203.0
289,182.361,657.0
290,383.863,593.0
291,278.323,578.0
292,326.306,219.0
293,1017.286,172.0
294,249.504,219.0
295,364.679,219.0
296,268.728,328.0
297,892.531,812.0
298,479.869,547.0
299,595.008,235.0
300,268.717,140.0
301,172.748,188.0
302,623.811,250.0
303,499.035,578.0
304,374.28,328.0
305,547.011,344.0
306,249.524,297.0
307,172.743,187.0
308,441.468,375.0
309,278.318,281.0
310,364.678,329.0
311,393.502,437.0
312,249.539,578.0
313,153.539,250.0
314,220.732,172.0
315,220.734,188.0
316,575.816,265.0
317,220.736,891.0
318,566.219,484.0
319,249.517,594.0
320,182.35,266.0
321,163.157,171.0
322,230.338,313.0
323,316.694,312.0
324,268.703,500.0
325,335.903,375.0
326,297.5,547.0
327,143.962,250.0
328,124.751,172.0
329,182.345,188.0
330,143.966,250.0
331,326.287,281.0
332,671.816,360.0
333,211.126,390.0
334,230.304,250.0
335,67.179,156.0
336,211.142,218.0
337,95.967,219.0
338,374.286,578.0
339,614.189,219.0
340,67.189,563.0
341,230.337,250.0
342,67.181,187.0
343,211.118,157.0
344,115.15,234.0
345,393.469,312.0
346,575.805,266.0
347,124.754,344.0
348,230.323,297.0
349,67.179,140.0
350,326.285,125.0
351,393.473,187.0
352,642.974,141.0
353,57.579,328.0
354,259.112,672.0
355,38.387,203.0
356,220.722,234.0
357,143.952,62.0
358,690.974,219.0
359,575.814,94.0
360,191.93,375.0
361,182.347,609.0
362,47.987,63.0
363,201.529,234.0
364,172.74,63.0
365,249.518,219.0
366,614.193,109.0
367,76.775,391.0
368,287.895,578.0
369,76.771,125.0
370,201.541,234.0
371,124.765,63.0
372,287.906,203.0
373,700.587,125.0
374,105.559,390.0
375,220.732,641.0
376,47.983,62.0
377,201.526,250.0
378,441.443,47.0
379,566.227,219.0
380,355.061,141.0
381,67.166,687.0
382,201.533,578.0
383,95.968,188.0
384,374.268,187.0
385,566.218,47.0
386,249.512,203.0
387,230.317,172.0
388,47.987,250.0
389,220.72,609.0
390,95.968,78.0
391,326.285,282.0
392,595.003,79.0
393,153.546,203.0
394,239.918,125.0
395,172.744,281.0
396,172.761,703.0
397,335.899,109.0
398,355.109,219.0
399,278.305,47.0
400,191.94,203.0
401,153.542,110.0
402,115.166,328.0
403,143.957,562.0
404,307.108,141.0
405,326.294,219.0
406,115.163,62.0
407,326.294,204.0
408,268.692,93.0
409,249.519,375.0
410,143.949,563.0
411,124.755,250.0
412,719.772,234.0
413,326.293,47.0
414,220.716,219.0
415,182.344,93.0
416,211.121,329.0
417,153.553,593.0
418,422.254,157.0
419,355.064,234.0
